modelo,coef_log_time_spent,error_estandar,p_valor,r2,n
Log-log simple,0.16851748931467586,0.0011990530421120776,0,0.1649442962843078,100000
Log-log con controles,0.16863110371621712,0.0011360933279200903,0,0.2503915263509381,100000
