modelo,coef_easier_signup,error_estandar,p_valor,ic_inferior,ic_superior,r2,n
ITT nivel sencillo,0.490859507020659,0.07298082833735801,1.840943577686187e-11,0.3478023933614016,0.6339166206799164,0.004504256481062657,10000
ITT nivel con controles,0.43386094552290244,0.06336889393246192,8.007631357552086e-12,0.30964514902724244,0.5580767420185624,0.25031280710702514,10000
