grupo,n,media,mediana,desv_estandar,p90,p99,maximo
Control,5043,3.978273734999022,3.1498450432402385,2.704179826982865,7.231094501311666,14.396858549023634,23.846709802141504
Tratamiento (registro facilitado),4957,4.469133242019716,3.144595581978076,4.406880764221176,8.556018821931097,24.884153806219672,52.20504667806339
